pgmid,courseId,branchId,outcome
167,1003,69,"Life-long Learning: Recognize the need, and have the ability, to engage in independent learning for continual development as a computing professional."
168,1003,68,"Life-long Learning: Recognize the need, and have the ability, to engage in independent learning for continual development as a computing professional."
169,1003,70,"Life-long Learning: Recognize the need, and have the ability, to engage in independent learning for continual development as a computing professional."
170,1003,69,"Project management and finance: Demonstrate knowledge and understanding of the computing and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
171,1003,68,"Project management and finance: Demonstrate knowledge and understanding of the computing and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
172,1003,70,"Project management and finance: Demonstrate knowledge and understanding of the computing and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
173,1003,69,"Communication Efficacy: Communicate effectively with the computing community, and with society at large, about complex computing activities by being able to comprehend and write effective reports, design documentation, make effective presentations, and give and understand clear instructions."
174,1003,68,"Communication Efficacy: Communicate effectively with the computing community, and with society at large, about complex computing activities by being able to comprehend and write effective reports, design documentation, make effective presentations, and give and understand clear instructions."
175,1003,70,"Communication Efficacy: Communicate effectively with the computing community, and with society at large, about complex computing activities by being able to comprehend and write effective reports, design documentation, make effective presentations, and give and understand clear instructions."
176,1003,69,"Societal and Environmental Concern: Understand and assess societal, environmental, health, safety, legal, and cultural issues within local and global contexts, and the consequential responsibilities relevant to professional computing practices."
177,1003,68,"Societal and Environmental Concern: Understand and assess societal, environmental, health, safety, legal, and cultural issues within local and global contexts, and the consequential responsibilities relevant to professional computing practices."
178,1003,70,"Societal and Environmental Concern: Understand and assess societal, environmental, health, safety, legal, and cultural issues within local and global contexts, and the consequential responsibilities relevant to professional computing practices."
179,1003,69,Individual and Team Work: Function effectively as an individual and as a member or leader in diverse teams and in multidisciplinary environments.
180,1003,68,Individual and Team Work: Function effectively as an individual and as a member or leader in diverse teams and in multidisciplinary environments.
181,1003,70,Individual and Team Work: Function effectively as an individual and as a member or leader in diverse teams and in multidisciplinary environments.
182,1003,69,Innovation and Entrepreneurship: Identify a timely opportunity and using innovation to pursue that opportunity to create value and wealth for the betterment of the individual and society at large.
183,1003,68,Innovation and Entrepreneurship: Identify a timely opportunity and using innovation to pursue that opportunity to create value and wealth for the betterment of the individual and society at large.
184,1003,70,Innovation and Entrepreneurship: Identify a timely opportunity and using innovation to pursue that opportunity to create value and wealth for the betterment of the individual and society at large.
185,1001,38,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex engineering problems. "
186,1001,38,"Problem analysis: Identify, formulate, review research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences. "
187,1001,38,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations. "
188,1001,38,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions. "
189,1001,38,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modeling to complex engineering activities with an understanding of the limitations. 
"
190,1001,38,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice. "
191,1001,38,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development. 
"
192,1001,38,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice. 
193,1001,38,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings. "
194,1001,38,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions. "
195,1001,38,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments. "
196,1001,38,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change. "
197,1001,34,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals and civil engineering specialization to the solution of complex civil engineering problems."
198,1001,34,"Problem analysis: Identify, formulate, review research literature, and analyze complex civil engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences"
199,1001,34,"Design/development of solutions: Design solutions for complex civil engineering problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations"
200,1001,34,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
201,1001,34,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modeling to complex civil engineering activities with an understanding of the limitations."
202,1001,34,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional civil engineering practice"
203,1001,34,"Environment and sustainability: Understand the impact of professional civil engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
204,1001,34,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of civil engineering practice.
205,1001,34,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
206,1001,34,"Communication: Communicate effectively on complex civil engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions"
207,1001,34,"Project management and finance: Demonstrate knowledge and understanding of civil engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environment."
208,1001,34,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change."
209,1001,36,"Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex engineering problems."
210,1001,36,"Identify, formulate, review research literature, and analyze complex
engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
211,1001,36,"Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate
consideration for the public health and safety, and the cultural, societal, and environmental considerations."
212,1001,36,"Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
213,1001,36,"Create, select, and apply appropriate techniques, resources, and modern
engineering and IT tools including prediction and modeling to complex engineering activities with an understanding of the limitations."
214,1001,36,"Apply reasoning informed by the contextual knowledge to assess
societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
215,1001,36,"Understand the impact of the professional engineering solutions
in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
216,1001,36,Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
217,1001,36,"Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
218,1001,36,"Communicate effectively on complex engineering activities with the engineering
community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
219,1001,36,"Demonstrate knowledge and understanding of the
engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
220,1001,36,"Recognize the need for, and have the preparation and ability to engage in
independent and life-long learning in the broadest context of technological change."
221,1001,47,Our graduates shall excel as engineers or pursue higher studies in Chemical Engineering with a strong fundamental knowledge laid during undergraduate education.
222,1001,47,Our graduates shall practice as entrepreneurs with ethical attitude and social responsibility.
223,1001,47,Our graduates shall exhibit an innovative approach for facing the current technical and environmental challenges faced by the society.
224,1001,47,"At the end of the Program, a student shall be able to Apply the knowledge of mathematics, physics, chemistry and engineering to solve Chemical Engineering problems."
225,1001,47,"At the end of the Program, a student shall be able to identify, formulate and analyze complex Chemical Engineering problems and derive meaningful conclusions using principles of mathematics, science and engineering."
226,1001,47,"At the end of the Program, a student shall be able to design efficient processes and develop high quality products by considering safety, environmental and economic aspects."
227,1001,47,"At the end of the Program, a student shall be able to conduct investigation of complex Chemical Engineering problems using research based methods, analyze and interpret data to draw valid conclusions."
228,1001,47,"At the end of the Program, a student shall be able to acquire skills to select and use modern engineering tools and software for modelling, simulation and solution of various Chemical Engineering problems."
229,1001,47,"At the end of the Program, a student shall be able to apply contextual knowledge to assess societal, health, safety, legal and cultural issues in
professional practice to become a responsible engineer."
230,1001,47,"At the end of the Program, a student shall be able to understand the societal and environmental impacts of Chemical Engineering applications and practice sustainable development."
231,1001,47,"At the end of the Program, a student shall be able to commit to professional and ethical responsibilities of an engineer."
232,1001,47,"At the end of the Program, a student shall be able to able to work individually, in a team or as a leader in various challenging environments."
233,1001,47,"At the end of the Program, a student shall be able to Communicate effectively within the engineering community or with the society through appropriate reports, designs, presentations and instructions."
234,1001,47,"At the end of the Program, a student shall be able to communicate effectively within the engineering community or with the society through appropriate reports, designs, presentations and instructions."
235,1001,47,"At the end of the Program, a student shall be able to engage in life-long learning in the broadest context of technological changes for continuous professional development."
236,1001,47,"At the end of the Program, a student shall be able to communicate effectively within the engineering community or with the society through appropriate reports, designs, presentations and instructions."
237,1001,39,"Apply the knowledge of mathematics, physics, chemistry and basic engineering to solve problems related to Mechanical and Automobile Engineering"
238,1001,39,"Problem Analysis: Analyse and solve problems related to thermal engineering,design,manufacturing methods and management."
239,1001,39,"Design and development of solution:Design and implement solution for problems related to public health,society,environment and culture."
240,1001,39,"Investigation of complex problems: Analyse,interpret and synthesize the information using domain knowledge and to arrive at valid conclusions."
241,1001,39,Modern Tool Usage:Select and apply modern tools and techniques in their engineering as well as for research and development.
242,1001,39,Engineers and society: Able to assess the societal consequences resulting from engineering decisions and to implement positive solutions for nullifying negative impacts
243,1001,39,Environment and sustainability: Understand and analyse the impacts of engineering work on the environment and identify sustainable solutions for the same.
244,1001,39,Ethics: Be a successful engineer who has sound awareness about professional and ethical responsibilities.
245,1001,39,Individual and team work: Function effectively as a team member/leader or an individual in diverse teams under various circumstances.
246,1001,39,Communication: Communicate and share acquired knowledge effectively with engineering community as well as general public through different channels of communication including ICT.
247,1001,39,"Lifelong Learning: Identify the importance of lifelong learning for enhancing one's knowledge and skills, and practice it."
248,1001,39,Project Management and finance: Apply management principles as a member/team leader to manage project in any multi disciplinary environment.
249,1001,35,"Engineering knowledge: Apply the knowledge of mathematics, science, engineering fundamentals, and their engineering specialization to the solution of complex computer engineering problems."
250,1001,35,"Problem analysis: Identify, formulate, review research literature, and analyze complex computer engineering problems to arrive at substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
251,1001,35,"Design/development of solutions: Design solutions for complex computer engineering problems and design system components or processes that meet the specified needs with appropriate consideration for public health and safety, as well as cultural, societal, and environmental considerations."
252,1001,35,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
253,1001,35,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modelling, to complex engineering activities with an understanding of their limitations."
254,1001,35,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
255,1001,35,"Environment and sustainability: Understand the impact of professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
256,1001,35,"Ethics: Apply ethical principles and commit to professional ethics, responsibilities and norms for the practice of engineering."
257,1001,35,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
258,1001,35,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
259,1001,35,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects in multidisciplinary environments."
260,1001,35,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change."
261,1001,33,Be competent engineers who shall provide successful solutions to problems faced by the manufacturing sector in automobile and allied industries
262,1001,33,"Apply the knowledge of mathematics, physics, chemistry and basic engineering to solve problems related to Mechanical and Automobile Engineering"
263,1001,33,"Identify, formulate and analyze complex Mechanical and Automobile Engineering problems and derive meaningful conclusions using principles of mathematics, science and engineering."
264,1001,33,"Design efficient processes and develop good quality products giving due consideration to safety, environmental issues and economic aspects"
265,1001,33,"Conduct investigation of complex Engineering problems using research based methods, analyze and interpret data to identify valid conclusions"
266,1001,33,"Acquire skills and knowledge to select and use modern engineering tools and software for modeling, simulation and solution of complex Automobile Engineering problems"
267,1001,33,"Apply contextual knowledge to identify and assess societal, health, safety, legal and cultural issues in professional practice to become a responsible engineer"
268,1001,33,Understand the societal and environmental impacts of applying solutions for the real life problems in Automobile Engineering and practice sustainable improvement
269,1001,33,Work with full commitment to professional and ethical responsibilities as an engineer
270,1001,33,"Work individually, in a team or as a leader in any demanding or challenging
environment with maximum dedication"
271,1001,33,"Communicate effectively with engineering community or the society at large through appropriate reports, designs, presentations and instructions"
272,1001,33,Engage in life-long learning in the broadest context of developments in technology for continuous professional development
273,1001,33,Understand engineering and management principles and apply these to manage multidisciplinary projects and finance as an individual or as a member or leader of a team.
274,1001,47,"At the end of the Program, a student shall be able to Engage in life-long learning in the broadest context of technological changes for continuous professional development"
275,1001,47,"At the end of the Program, a student shall be able to Understand engineering and management principles and apply these to manage multidisciplinary projects as an individual or as a member or leader in a team."
276,1001,47,"At the end of the Program, a student shall be able to communicate effectively within the engineering community or with the society through
appropriate reports, designs, presentations and instructions."
277,1001,47,"At the end of the Program, a student shall be able to engage in life-long learning in the broadest context of technological changes for continuous professional development"
278,1001,47,"At the end of the Program, a student shall be able to Understand engineering and management principles and apply these to manage multidisciplinary projects as an individual or as a member or leader in a team."
279,1001,43,"1.	An ability to apply basic knowledge of mathematics, science, and engineering in their field"
280,1001,43,"Engineering knowledge:  Apply the knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex engineering problems. "
281,1001,43,"Problem analysis: Identify, formulate, review research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences. "
282,1001,43,"Design/development of solutions: Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations. "
283,1001,43,"Conduct investigations of complex problems: Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions. "
284,1001,43,"Modern tool usage: Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modeling to complex engineering activities with an understanding of the limitations. "
285,1001,43,"The engineer and society: Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal and cultural issues and the consequent responsibilities relevant to the professional engineering practice. "
286,1001,43,"Environment and sustainability: Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development. "
287,1001,43,Ethics: Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice. 
288,1001,43,An optimistic attitude on the international impact of metallurgical engineering profession/practice
289,1001,43,An ability to understand the technical changes and to engage in life-long learning
290,1001,43,An ability to extend perceptive of  modern issues in metallurgical engineering
291,1001,43,An ability to exploit the skills and contemporary engineering techniques required for engineering practice
292,1001,43,An ability to understand the technical changes and to engage in life-long learning
293,1001,43,"Individual and team work: Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings. "
294,1001,43,An ability to understand the technical changes and to engage in life-long learning
295,1001,43,"Communication: Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions. "
296,1001,43,"Project management and finance: Demonstrate knowledge and understanding of the engineering and management principles and apply these to oneâ€™s own work, as a member and leader in a team, to manage projects and in multidisciplinary environments. "
297,1001,43,"Life-long learning: Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change. 


"
298,1002,41,"Acquire in-depth knowledge of specific discipline or professional area, including wider and global perspective, with an ability to discriminate, evaluate, analyse and synthesise existing and new knowledge, and  integration of the same for enhancement of knowledge."
299,1002,41,"Analyse complex engineering problems critically, apply independent judgement for synthesising information to make intellectual and/or creative advances for conducting research in a wider theoretical, practical and policy context."
300,1002,41,"Think laterally and originally, conceptualise and solve engineering problems, evaluate a wide range of potential solutions for those problems and arrive at feasible, optimal solutions after considering public health and safety, cultural, societal and environmental factors in the core areas of expertise."
301,1002,41,"Extract information pertinent to unfamiliar problems through literature survey and experiments, apply appropriate research methodologies, techniques and tools, design, conduct experiments, analyse and interpret data, demonstrate higher order skill and view things in a broader perspective, contribute individually/in group(s) to the development of scientific/technological knowledge in one or more domains of engineering."
302,1002,41,"Create, select, learn and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modelling, to complex engineering activities with an understanding of the limitations."
303,1002,41,"Possess knowledge and understanding of group dynamics, recognise opportunities and contribute positively to collaborative-multidisciplinary scientific research, demonstrate a capacity for self-management and teamwork, decision-making based on open-mindedness, objectivity and rational analysis in order to achieve common goals and further the learning of themselves as well as others."
304,1002,41,"Demonstrate knowledge and understanding of engineering and management principles and apply the same to oneâ€™s own work, as a member and leader in a team, manage projects efficiently in respective disciplines and multidisciplinary environments after considerisation of economical and financial factors."
305,1002,41,"Communicate with the engineering community, and with society at large, regarding complex engineering activities confidently and effectively, such as, being able to comprehend and write effective reports and design documentation by adhering to appropriate standards, make effective presentations, and give and receive clear instructions."
306,1002,41,"Recognise the need for, and have the preparation and ability to engage in life-long learning independently, with a high level of enthusiasm and commitment to improve knowledge and competence continuously."
307,1002,41,"Acquire professional and intellectual integrity, professional code of conduct, ethics of research and scholarship, consideration of the impact of research outcomes on professional practices and an understanding of responsibility to contribute to the community for sustainable development of society."
308,1002,41,"Observe and examine critically the outcomes of oneâ€™s actions and make corrective measures subsequently, and learn from mistakes without depending on external feedback."
309,1002,42,"Scholarship of Knowledge:  Acquire in-depth knowledge of specific discipline or professional area, including wider and global perspective, with an ability to discriminate, evaluate, analyse and synthesise existing and new knowledge, and integration of the same for enhancement of knowledge."
310,1002,42,"Critical Thinking: Analyse complex engineering problems critically, apply independent judgement for synthesising information to make intellectual and/or creative advances for conducting research in a wider theoretical, practical and policy context."
311,1002,42,"Problem Solving: Think laterally and originally, conceptualise and solve engineering problems, evaluate a wide range of potential solutions for those problems and arrive at feasible, optimal solutions after considering public health and safety, cultural, societal and environmental factors in the core areas of expertise."
312,1002,42,"Research Skill: Extract information pertinent to unfamiliar problems through literature survey and experiments, apply appropriate research methodologies, techniques and tools, design, conduct experiments, analyse and interpret data, demonstrate higher order skill and view things in a broader perspective, contribute individually/in group(s) to the development of scientific/technological knowledge in one or more domains of engineering."
313,1002,42,"Usage of modern tools: Create, select, learn and apply appropriate techniques, resources, and modern engineering and IT tools, including prediction and modelling, to complex engineering activities with an understanding of the limitations."
